Date,Contract,Expiry,Strike,Type,Price,Price_Source,Settlement,Bid,Ask,Days_To_Expiry,T,Futures_Product,Forward,Futures_Contract,Forward_Source,IV,OTM,Plot_Eligible
2026-09-23,202609W5,2026-09-30,45050.0,P,20.5,settlement,20.5,19.5,20.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.25668090740209043,True,True
2026-09-23,202609W5,2026-09-30,45100.0,C,3010.0,settlement,3010.0,2970.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,45100.0,P,21.0,settlement,21.0,20.0,21.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.25415536339640743,True,True
2026-09-23,202609W5,2026-09-30,45150.0,C,2960.0,settlement,2960.0,2920.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,45150.0,P,22.0,settlement,22.0,21.0,22.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.25261816966329365,True,True
2026-09-23,202609W5,2026-09-30,45200.0,C,2910.0,settlement,2910.0,2820.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,45200.0,P,22.5,settlement,22.5,21.5,22.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.24998833472922555,True,True
2026-09-23,202609W5,2026-09-30,45250.0,C,2860.0,settlement,2860.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,45250.0,P,23.5,settlement,23.5,22.5,23.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.24828900393226908,True,True
2026-09-23,202609W5,2026-09-30,45300.0,C,2810.0,settlement,2810.0,2.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,45300.0,P,24.0,settlement,24.0,23.0,24.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.2455618705750137,True,True
2026-09-23,202609W5,2026-09-30,45350.0,C,2760.0,settlement,2760.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,45350.0,P,25.0,settlement,25.0,24.0,25.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.2437126995343261,True,True
2026-09-23,202609W5,2026-09-30,45400.0,C,2710.0,settlement,2710.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,45400.0,P,26.0,settlement,26.0,25.0,26.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.24177747025784996,True,True
